Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2019-01-14,,463.0,452.0,459.5,,,,,,
2019-01-11,,468.5,458.5,465.0,,,,,,
2019-01-10,,466.5,456.0,459.5,,,,,,
2019-01-09,,470.0,448.5,458.5,,,,,,
2019-01-08,,455.0,443.0,445.0,,,,,,
2019-01-07,,454.0,436.0,442.5,,,,,,
2019-01-04,,450.0,427.5,449.5,,,,,,
2019-01-03,,433.0,420.0,430.0,,,,,,
2019-01-02,,438.5,416.5,434.0,,,,,,
2018-12-28,,427.0,410.5,427.0,,,,,,
2018-12-27,,421.5,407.5,413.0,,,,,,
2018-12-21,,427.5,408.0,418.0,,,,,,
2018-12-20,,415.0,403.5,408.5,,,,,,
2018-12-19,,425.5,413.5,416.0,,,,,,
2018-12-18,,430.0,413.0,413.0,,,,,,
2018-12-17,,461.5,422.5,424.5,,,,,,
2018-12-14,,465.5,453.5,456.5,,,,,,
2018-12-13,,473.0,447.0,470.0,,,,,,
2018-12-12,,460.5,448.0,457.0,,,,,,
2018-12-11,,458.5,441.5,456.5,,,,,,
2018-12-10,,453.0,442.5,444.5,,,,,,
2018-12-06,,463.0,449.0,450.5,,,,,,
2018-12-05,,464.0,454.5,460.0,,,,,,
2018-12-04,,469.0,443.0,462.5,,,,,,
2018-12-03,,459.5,441.5,446.5,,,,,,
2018-11-30,,450.0,435.5,443.0,,50176.0,22182574.0,,,
2018-11-29,,462.5,448.5,448.5,,37705.0,17062584.0,,,
2018-11-28,,459.0,447.5,454.0,,26240.0,11909167.0,,,
2018-11-27,,458.0,446.5,456.0,,37196.0,16879563.0,,,
2018-11-26,,456.5,445.0,455.0,,39456.0,17873366.0,,,
2018-11-23,,452.0,436.0,451.5,,41641.0,18535740.0,,,
2018-11-22,,448.0,438.5,444.5,,22074.0,9790254.0,,,
2018-11-21,,450.0,434.0,446.5,,44330.0,19653688.0,,,
2018-11-20,,436.5,420.5,433.0,,59286.0,25489919.0,,,
2018-11-19,,454.5,437.0,440.0,,24251.0,10736335.0,,,
2018-11-16,,457.5,441.5,452.0,,33555.0,15109638.0,,,
2018-11-15,,457.0,444.0,449.5,,41226.0,18549861.0,,,
2018-11-14,,469.5,449.0,450.5,,62108.0,28487242.0,,,
2018-11-13,,450.0,440.0,445.0,,38849.0,17283662.0,,,
2018-11-12,,451.0,436.5,437.0,,30075.0,13266619.0,,,
2018-11-09,,454.5,443.0,447.0,,27395.0,12273021.0,,,
2018-11-08,,460.0,447.5,453.0,,31991.0,14470485.0,,,
2018-11-07,,468.5,453.0,457.0,,51966.0,23821686.0,,,
2018-11-06,,471.0,457.0,466.0,,39146.0,18239068.0,,,
2018-11-05,,463.0,455.0,459.5,,37375.0,17138405.0,,,
2018-11-02,,470.0,453.0,459.5,,50821.0,23533930.0,,,
2018-11-01,,460.5,436.5,446.5,,33002.0,14755201.0,,,
2018-10-31,,473.5,448.0,454.0,,61715.0,28267090.0,,,
2018-10-30,,449.0,435.0,445.5,,42272.0,18764740.0,,,
2018-10-29,,448.5,433.5,446.5,,39847.0,17665909.0,,,
2018-10-26,,452.0,432.5,436.5,,81715.0,35947207.0,,,
2018-10-25,,445.0,423.0,444.0,,107214.0,46828518.0,,,
2018-10-24,,420.5,401.5,404.0,,74539.0,30475463.0,,,
2018-10-23,,419.0,391.5,398.5,,56631.0,22724731.0,,,
2018-10-22,,432.0,417.0,418.5,,42287.0,17827342.0,,,
2018-10-19,,432.5,422.0,424.0,,55708.0,23764816.0,,,
2018-10-18,,434.0,415.0,427.0,,64497.0,27595254.0,,,
2018-10-17,,433.5,418.5,420.0,,54638.0,23128371.0,,,
2018-10-16,,423.5,410.0,421.5,,57623.0,24059126.0,,,
2018-10-15,,419.0,402.0,411.5,,50210.0,20611961.0,,,
2018-10-12,,423.5,409.0,415.0,,76575.0,31874273.0,,,
2018-10-11,,423.5,399.0,416.0,,93095.0,38455175.0,,,
2018-10-10,,450.0,411.0,411.5,,107261.0,45789989.0,,,
2018-10-09,,449.5,423.5,444.0,,86507.0,37998836.0,,,
2018-10-08,,425.5,414.5,424.5,,52820.0,22292643.0,,,
2018-10-05,,432.0,421.0,425.5,,59875.0,25512984.0,,,
2018-10-04,,445.0,419.5,429.0,,78995.0,33905779.0,,,
2018-10-02,,442.0,431.5,440.0,,36065.0,15800049.0,,,
2018-10-01,,440.5,424.0,438.5,,28684.0,12504698.0,,,
2018-09-28,,427.5,422.0,425.0,,40837.0,17362672.0,,,
2018-09-27,,430.0,419.5,424.0,,26703.0,11365073.0,,,
